,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,TicketGroup,HasCabin
622,623,1,3,male,20.0,1,1,15.7417,C,number,1
623,624,0,3,male,21.0,0,0,7.8542,S,number,1
624,625,0,3,male,21.0,0,0,16.1,S,number,1
625,626,0,1,male,61.0,0,0,32.3208,S,number,0
626,627,0,2,male,57.0,0,0,12.35,Q,number,1
627,628,1,1,female,21.0,0,0,77.9583,S,number,0
628,629,0,3,male,26.0,0,0,7.8958,S,number,1
630,631,1,1,male,80.0,0,0,30.0,S,number,0
631,632,0,3,male,51.0,0,0,7.0542,S,number,1
632,633,1,1,male,32.0,0,0,30.5,C,number,0
634,635,0,3,female,9.0,3,2,27.9,S,number,1
635,636,1,2,female,28.0,0,0,13.0,S,number,1
636,637,0,3,male,32.0,0,0,7.925,S,other,1
637,638,0,2,male,31.0,1,1,26.25,S,other,1
638,639,0,3,female,41.0,0,5,39.6875,S,number,1
640,641,0,3,male,20.0,0,0,7.8542,S,number,1
641,642,1,1,female,24.0,0,0,69.3,C,other,0
642,643,0,3,female,2.0,3,2,27.9,S,number,1
644,645,1,3,female,0.75,2,1,19.2583,C,number,1
645,646,1,1,male,48.0,1,0,76.7292,C,other,0
646,647,0,3,male,19.0,0,0,7.8958,S,number,1
647,648,1,1,male,56.0,0,0,35.5,C,number,0
649,650,1,3,female,23.0,0,0,7.55,S,other,1
651,652,1,2,female,18.0,0,1,23.0,S,number,1
652,653,0,3,male,21.0,0,0,8.4333,S,number,1
654,655,0,3,female,18.0,0,0,6.75,Q,number,1
655,656,0,2,male,24.0,2,0,73.5,S,other,1
657,658,0,3,female,32.0,1,1,15.5,Q,number,1
658,659,0,2,male,23.0,0,0,13.0,S,number,1
659,660,0,1,male,58.0,0,2,113.275,C,number,0
660,661,1,1,male,50.0,2,0,133.65,S,other,1
661,662,0,3,male,40.0,0,0,7.225,C,number,1
662,663,0,1,male,47.0,0,0,25.5875,S,number,0
663,664,0,3,male,36.0,0,0,7.4958,S,number,1
664,665,1,3,male,20.0,1,0,7.925,S,other,1
665,666,0,2,male,32.0,2,0,73.5,S,other,1
666,667,0,2,male,25.0,0,0,13.0,S,number,1
668,669,0,3,male,43.0,0,0,8.05,S,other,1
670,671,1,2,female,40.0,1,1,39.0,S,number,1
671,672,0,1,male,31.0,1,0,52.0,S,other,0
672,673,0,2,male,70.0,0,0,10.5,S,other,1
673,674,1,2,male,31.0,0,0,13.0,S,number,1
675,676,0,3,male,18.0,0,0,7.775,S,number,1
676,677,0,3,male,24.5,0,0,8.05,S,number,1
677,678,1,3,female,18.0,0,0,9.8417,S,number,1
678,679,0,3,female,43.0,1,6,46.9,S,other,1
679,680,1,1,male,36.0,0,1,512.3292,C,other,0
681,682,1,1,male,27.0,0,0,76.7292,C,other,0
682,683,0,3,male,20.0,0,0,9.225,S,number,1
683,684,0,3,male,14.0,5,2,46.9,S,other,1
684,685,0,2,male,60.0,1,1,39.0,S,number,1
685,686,0,2,male,25.0,1,2,41.5792,C,other,1
686,687,0,3,male,14.0,4,1,39.6875,S,number,1
687,688,0,3,male,19.0,0,0,10.1708,S,number,1
688,689,0,3,male,18.0,0,0,7.7958,S,number,1
689,690,1,1,female,15.0,0,1,211.3375,S,number,0
690,691,1,1,male,31.0,1,0,57.0,S,number,0
691,692,1,3,female,4.0,0,1,13.4167,C,number,1
693,694,0,3,male,25.0,0,0,7.225,C,number,1
694,695,0,1,male,60.0,0,0,26.55,S,number,1
695,696,0,2,male,52.0,0,0,13.5,S,number,1
696,697,0,3,male,44.0,0,0,8.05,S,number,1
698,699,0,1,male,49.0,1,1,110.8833,C,number,0
699,700,0,3,male,42.0,0,0,7.65,S,number,0
700,701,1,1,female,18.0,1,0,227.525,C,other,0
701,702,1,1,male,35.0,0,0,26.2875,S,other,0
702,703,0,3,female,18.0,0,1,14.4542,C,number,1
703,704,0,3,male,25.0,0,0,7.7417,Q,number,1
704,705,0,3,male,26.0,1,0,7.8542,S,number,1
705,706,0,2,male,39.0,0,0,26.0,S,number,1
706,707,1,2,female,45.0,0,0,13.5,S,number,1
707,708,1,1,male,42.0,0,0,26.2875,S,other,0
708,709,1,1,female,22.0,0,0,151.55,S,number,1
710,711,1,1,female,24.0,0,0,49.5042,C,other,0
712,713,1,1,male,48.0,1,0,52.0,S,number,0
713,714,0,3,male,29.0,0,0,9.4833,S,number,1
714,715,0,2,male,52.0,0,0,13.0,S,number,1
715,716,0,3,male,19.0,0,0,7.65,S,number,0
716,717,1,1,female,38.0,0,0,227.525,C,other,0
717,718,1,2,female,27.0,0,0,10.5,S,number,0
719,720,0,3,male,33.0,0,0,7.775,S,number,1
720,721,1,2,female,6.0,0,1,33.0,S,number,1
721,722,0,3,male,17.0,1,0,7.0542,S,number,1
722,723,0,2,male,34.0,0,0,13.0,S,number,1
723,724,0,2,male,50.0,0,0,13.0,S,number,1
724,725,1,1,male,27.0,1,0,53.1,S,number,0
725,726,0,3,male,20.0,0,0,8.6625,S,number,1
726,727,1,2,female,30.0,3,0,21.0,S,number,1
728,729,0,2,male,25.0,1,0,26.0,S,number,1
729,730,0,3,female,25.0,1,0,7.925,S,other,1
730,731,1,1,female,29.0,0,0,211.3375,S,number,0
731,732,0,3,male,11.0,0,0,18.7875,C,number,1
733,734,0,2,male,23.0,0,0,13.0,S,number,1
734,735,0,2,male,23.0,0,0,13.0,S,number,1
735,736,0,3,male,28.5,0,0,16.1,S,number,1
736,737,0,3,female,48.0,1,3,34.375,S,other,1
737,738,1,1,male,35.0,0,0,512.3292,C,other,0
741,742,0,1,male,36.0,1,0,78.85,S,number,0
742,743,1,1,female,21.0,2,2,262.375,C,other,0
743,744,0,3,male,24.0,1,0,16.1,S,number,1
744,745,1,3,male,31.0,0,0,7.925,S,other,1
745,746,0,1,male,70.0,1,1,71.0,S,other,0
746,747,0,3,male,16.0,1,1,20.25,S,other,1
747,748,1,2,female,30.0,0,0,13.0,S,number,1
748,749,0,1,male,19.0,1,0,53.1,S,number,0
749,750,0,3,male,31.0,0,0,7.75,Q,number,1
750,751,1,2,female,4.0,1,1,23.0,S,number,1
751,752,1,3,male,6.0,0,1,12.475,S,number,0
752,753,0,3,male,33.0,0,0,9.5,S,number,1
753,754,0,3,male,23.0,0,0,7.8958,S,number,1
754,755,1,2,female,48.0,1,2,65.0,S,number,1
755,756,1,2,male,0.67,1,1,14.5,S,number,1
756,757,0,3,male,28.0,0,0,7.7958,S,number,1
757,758,0,2,male,18.0,0,0,11.5,S,number,1
758,759,0,3,male,34.0,0,0,8.05,S,number,1
759,760,1,1,female,33.0,0,0,86.5,S,number,0
761,762,0,3,male,41.0,0,0,7.125,S,other,1
762,763,1,3,male,20.0,0,0,7.2292,C,number,1
763,764,1,1,female,36.0,1,2,120.0,S,number,0
764,765,0,3,male,16.0,0,0,7.775,S,number,1
765,766,1,1,female,51.0,1,0,77.9583,S,number,0
767,768,0,3,female,30.5,0,0,7.75,Q,number,1
769,770,0,3,male,32.0,0,0,8.3625,S,number,1
770,771,0,3,male,24.0,0,0,9.5,S,number,1
771,772,0,3,male,48.0,0,0,7.8542,S,number,1
772,773,0,2,female,57.0,0,0,10.5,S,other,0
774,775,1,2,female,54.0,1,3,23.0,S,number,1
775,776,0,3,male,18.0,0,0,7.75,S,number,1
777,778,1,3,female,5.0,0,0,12.475,S,number,1
779,780,1,1,female,43.0,0,1,211.3375,S,number,0
780,781,1,3,female,13.0,0,0,7.2292,C,number,1
781,782,1,1,female,17.0,1,0,57.0,S,number,0
782,783,0,1,male,29.0,0,0,30.0,S,number,0
784,785,0,3,male,25.0,0,0,7.05,S,other,1
785,786,0,3,male,25.0,0,0,7.25,S,number,1
786,787,1,3,female,18.0,0,0,7.4958,S,number,1
787,788,0,3,male,8.0,4,1,29.125,Q,number,1
788,789,1,3,male,1.0,1,2,20.575,S,other,1
789,790,0,1,male,46.0,0,0,79.2,C,other,0
791,792,0,2,male,16.0,0,0,26.0,S,number,1
794,795,0,3,male,25.0,0,0,7.8958,S,number,1
795,796,0,2,male,39.0,0,0,13.0,S,number,1
796,797,1,1,female,49.0,0,0,25.9292,S,number,0
797,798,1,3,female,31.0,0,0,8.6833,S,number,1
798,799,0,3,male,30.0,0,0,7.2292,C,number,1
799,800,0,3,female,30.0,1,1,24.15,S,number,1
800,801,0,2,male,34.0,0,0,13.0,S,number,1
801,802,1,2,female,31.0,1,1,26.25,S,other,1
802,803,1,1,male,11.0,1,2,120.0,S,number,0
803,804,1,3,male,0.42,0,1,8.5167,C,number,1
804,805,1,3,male,27.0,0,0,6.975,S,number,1
805,806,0,3,male,31.0,0,0,7.775,S,number,1
806,807,0,1,male,39.0,0,0,0.0,S,number,0
807,808,0,3,female,18.0,0,0,7.775,S,number,1
808,809,0,2,male,39.0,0,0,13.0,S,number,1
809,810,1,1,female,33.0,1,0,53.1,S,number,0
810,811,0,3,male,26.0,0,0,7.8875,S,number,1
811,812,0,3,male,39.0,0,0,24.15,S,other,1
812,813,0,2,male,35.0,0,0,10.5,S,number,1
813,814,0,3,female,6.0,4,2,31.275,S,number,1
814,815,0,3,male,30.5,0,0,8.05,S,number,1
816,817,0,3,female,23.0,0,0,7.925,S,other,1
817,818,0,2,male,31.0,1,1,37.0042,C,other,1
818,819,0,3,male,43.0,0,0,6.45,S,other,1
819,820,0,3,male,10.0,3,2,27.9,S,number,1
820,821,1,1,female,52.0,1,1,93.5,S,number,0
821,822,1,3,male,27.0,0,0,8.6625,S,number,1
822,823,0,1,male,38.0,0,0,0.0,S,number,1
823,824,1,3,female,27.0,0,1,12.475,S,number,0
824,825,0,3,male,2.0,4,1,39.6875,S,number,1
827,828,1,2,male,1.0,0,2,37.0042,C,other,1
830,831,1,3,female,15.0,1,0,14.4542,C,number,1
831,832,1,2,male,0.83,1,1,18.75,S,number,1
833,834,0,3,male,23.0,0,0,7.8542,S,number,1
834,835,0,3,male,18.0,0,0,8.3,S,number,1
835,836,1,1,female,39.0,1,1,83.1583,C,other,0
836,837,0,3,male,21.0,0,0,8.6625,S,number,1
838,839,1,3,male,32.0,0,0,56.4958,S,number,1
840,841,0,3,male,20.0,0,0,7.925,S,other,1
841,842,0,2,male,16.0,0,0,10.5,S,other,1
842,843,1,1,female,30.0,0,0,31.0,C,number,1
843,844,0,3,male,34.5,0,0,6.4375,C,number,1
844,845,0,3,male,17.0,0,0,8.6625,S,number,1
845,846,0,3,male,42.0,0,0,7.55,S,other,1
847,848,0,3,male,35.0,0,0,7.8958,C,number,1
848,849,0,2,male,28.0,0,1,33.0,S,number,1
850,851,0,3,male,4.0,4,2,31.275,S,number,1
851,852,0,3,male,74.0,0,0,7.775,S,number,1
852,853,0,3,female,9.0,1,1,15.2458,C,number,1
853,854,1,1,female,16.0,0,1,39.4,S,other,0
854,855,0,2,female,44.0,1,0,26.0,S,number,1
855,856,1,3,female,18.0,0,1,9.35,S,number,1
856,857,1,1,female,45.0,1,1,164.8667,S,number,1
857,858,1,1,male,51.0,0,0,26.55,S,number,0
858,859,1,3,female,24.0,0,3,19.2583,C,number,1
860,861,0,3,male,41.0,2,0,14.1083,S,number,1
861,862,0,2,male,21.0,1,0,11.5,S,number,1
862,863,1,1,female,48.0,0,0,25.9292,S,number,0
864,865,0,2,male,24.0,0,0,13.0,S,number,1
865,866,1,2,female,42.0,0,0,13.0,S,number,1
866,867,1,2,female,27.0,1,0,13.8583,C,other,1
867,868,0,1,male,31.0,0,0,50.4958,S,other,0
869,870,1,3,male,4.0,1,1,11.1333,S,number,1
870,871,0,3,male,26.0,0,0,7.8958,S,number,1
871,872,1,1,female,47.0,1,1,52.5542,S,number,0
872,873,0,1,male,33.0,0,0,5.0,S,number,0
873,874,0,3,male,47.0,0,0,9.0,S,number,1
874,875,1,2,female,28.0,1,0,24.0,C,other,1
875,876,1,3,female,15.0,0,0,7.225,C,number,1
876,877,0,3,male,20.0,0,0,9.8458,S,number,1
877,878,0,3,male,19.0,0,0,7.8958,S,number,1
879,880,1,1,female,56.0,0,1,83.1583,C,number,0
880,881,1,2,female,25.0,0,1,26.0,S,number,1
881,882,0,3,male,33.0,0,0,7.8958,S,number,1
882,883,0,3,female,22.0,0,0,10.5167,S,number,1
883,884,0,2,male,28.0,0,0,10.5,S,other,1
884,885,0,3,male,25.0,0,0,7.05,S,other,1
885,886,0,3,female,39.0,0,5,29.125,Q,number,1
886,887,0,2,male,27.0,0,0,13.0,S,number,1
887,888,1,1,female,19.0,0,0,30.0,S,number,0
889,890,1,1,male,26.0,0,0,30.0,C,number,0
890,891,0,3,male,32.0,0,0,7.75,Q,number,1
